title,genres,overview,cast,director,keywords,vote_average,poster_path,language,industry
Breaking the Waves (1996),Drama Mystery,Movie with genres Drama Mystery. User tags: religion,,,religion,8.14,,English,Hollywood
Nightwatch (1997),Horror Thriller,Movie with genres Horror Thriller. User tags: ,,,,4.0,,English,Hollywood
Star Trek: First Contact (1996),Action Adventure Sci-Fi Thriller,Movie with genres Action Adventure Sci-Fi Thriller. User tags: Borg,,,Borg,7.76,,English,Hollywood
Shine (1996),Drama Romance,Movie with genres Drama Romance. User tags: music,,,music,8.0,,English,Hollywood
Sling Blade (1996),Drama,Movie with genres Drama. User tags: ex-con,,,ex-con,7.68,,English,Hollywood
Jingle All the Way (1996),Children Comedy,Movie with genres Children Comedy. User tags: ,,,,5.72,,English,Hollywood
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary,Movie with genres Documentary. User tags: In Netflix queue,,,In Netflix queue,8.17,,English,Hollywood
"Preacher's Wife, The (1996)",Drama,Movie with genres Drama. User tags: religion,,,religion,7.0,,English,Hollywood
Ridicule (1996),Drama,Movie with genres Drama. User tags: ,,,,7.17,,English,Hollywood
"Crucible, The (1996)",Drama,Movie with genres Drama. User tags: Arthur Miller,,,Arthur Miller,7.8,,English,Hollywood
101 Dalmatians (1996),Adventure Children Comedy,Movie with genres Adventure Children Comedy. User tags: dogs remake,,,dogs remake,6.15,,English,Hollywood
Die Hard 2 (1990),Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: ,,,,6.81,,English,Hollywood
Star Trek: The Motion Picture (1979),Adventure Sci-Fi,Movie with genres Adventure Sci-Fi. User tags: ,,,,6.09,,English,Hollywood
Star Trek VI: The Undiscovered Country (1991),Action Mystery Sci-Fi,Movie with genres Action Mystery Sci-Fi. User tags: Klingons,,,Klingons,6.69,,English,Hollywood
Star Trek V: The Final Frontier (1989),Action Sci-Fi,Movie with genres Action Sci-Fi. User tags: ,,,,5.33,,English,Hollywood
Star Trek II: The Wrath of Khan (1982),Action Adventure Sci-Fi Thriller,Movie with genres Action Adventure Sci-Fi Thriller. User tags: Captain Kirk,,,Captain Kirk,7.53,,English,Hollywood
Star Trek III: The Search for Spock (1984),Action Adventure Sci-Fi,Movie with genres Action Adventure Sci-Fi. User tags: ,,,,6.52,,English,Hollywood
Star Trek IV: The Voyage Home (1986),Adventure Comedy Sci-Fi,Movie with genres Adventure Comedy Sci-Fi. User tags: whales,,,whales,6.95,,English,Hollywood
Batman Returns (1992),Action Crime,Movie with genres Action Crime. User tags: superhero,,,superhero,6.05,,English,Hollywood
Young Guns (1988),Action Comedy Western,Movie with genres Action Comedy Western. User tags: ,,,,6.2,,English,Hollywood
Young Guns II (1990),Action Western,Movie with genres Action Western. User tags: ,,,,6.0,,English,Hollywood
Grease (1978),Comedy Musical Romance,Movie with genres Comedy Musical Romance. User tags: high school,,,high school,6.28,,English,Hollywood
Grease 2 (1982),Comedy Musical Romance,Movie with genres Comedy Musical Romance. User tags: high school,,,high school,4.16,,English,Hollywood
Marked for Death (1990),Action Drama,Movie with genres Action Drama. User tags: ,,,,3.75,,English,Hollywood
Under Siege (1992),Action Drama Thriller,Movie with genres Action Drama Thriller. User tags: ,,,,5.71,,English,Hollywood
Jaws (1975),Action Horror,Movie with genres Action Horror. User tags: Shark,,,Shark,8.01,,English,Hollywood
Jaws 2 (1978),Horror Thriller,Movie with genres Horror Thriller. User tags: ,,,,5.24,,English,Hollywood
Jaws 3-D (1983),Action Horror,Movie with genres Action Horror. User tags: shark,,,shark,2.83,,English,Hollywood
My Fellow Americans (1996),Comedy,Movie with genres Comedy. User tags: ,,,,5.33,,English,Hollywood
Mars Attacks! (1996),Action Comedy Sci-Fi,Movie with genres Action Comedy Sci-Fi. User tags: ,,,,6.19,,English,Hollywood
Citizen Ruth (1996),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,8.25,,English,Hollywood
Jerry Maguire (1996),Drama Romance,Movie with genres Drama Romance. User tags: sports,,,sports,7.19,,English,Hollywood
Raising Arizona (1987),Comedy,Movie with genres Comedy. User tags: Coen Brothers,,,Coen Brothers,7.98,,English,Hollywood
Tin Men (1987),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,6.0,,English,Hollywood
Sneakers (1992),Action Comedy Crime Drama Sci-Fi,Movie with genres Action Comedy Crime Drama Sci-Fi. User tags: spying,,,spying,6.96,,English,Hollywood
Bastard Out of Carolina (1996),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
In Love and War (1996),Romance War,Movie with genres Romance War. User tags: Hemingway,,,Hemingway,5.0,,English,Hollywood
Marvin's Room (1996),Drama,Movie with genres Drama. User tags: ,,,,6.2,,English,Hollywood
Ghosts of Mississippi (1996),Drama,Movie with genres Drama. User tags: ,,,,6.67,,English,Hollywood
Beavis and Butt-Head Do America (1996),Adventure Animation Comedy Crime,Movie with genres Adventure Animation Comedy Crime. User tags: ,,,,5.87,,English,Hollywood
La Cérémonie (1995),Crime Drama Mystery Thriller,Movie with genres Crime Drama Mystery Thriller. User tags: ,,,,9.0,,English,Hollywood
Scream (1996),Comedy Horror Mystery Thriller,Movie with genres Comedy Horror Mystery Thriller. User tags: slasher spoof,,,slasher spoof,6.4,,English,Hollywood
"Last of the Mohicans, The (1992)",Action Romance War Western,Movie with genres Action Romance War Western. User tags: Hawkeye James Fennimore Cooper,,,Hawkeye James Fennimore Cooper,7.67,,English,Hollywood
Michael (1996),Comedy Drama Fantasy Romance,Movie with genres Comedy Drama Fantasy Romance. User tags: ,,,,5.0,,English,Hollywood
Hamlet (1996),Crime Drama Romance,Movie with genres Crime Drama Romance. User tags: Shakespeare,,,Shakespeare,8.0,,English,Hollywood
Some Mother's Son (1996),Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
"Whole Wide World, The (1996)",Drama,Movie with genres Drama. User tags: Conan,,,Conan,8.5,,English,Hollywood
Mother (1996),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
"Thieves (Voleurs, Les) (1996)",Crime Drama Romance,Movie with genres Crime Drama Romance. User tags: ,,,,5.0,,English,Hollywood
Evita (1996),Drama Musical,Movie with genres Drama Musical. User tags: Andrew Lloyd Weber,,,Andrew Lloyd Weber,6.83,,English,Hollywood
"Portrait of a Lady, The (1996)",Drama,Movie with genres Drama. User tags: ,,,,6.5,,English,Hollywood
Walkabout (1971),Adventure Drama,Movie with genres Adventure Drama. User tags: ,,,,8.5,,English,Hollywood
Murder at 1600 (1997),Crime Drama Mystery Thriller,Movie with genres Crime Drama Mystery Thriller. User tags: ,,,,5.5,,English,Hollywood
Hearts and Minds (1996),Drama,Movie with genres Drama. User tags: In Netflix queue Vietnam,,,In Netflix queue Vietnam,8.0,,English,Hollywood
Fierce Creatures (1997),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
Zeus and Roxanne (1997),Children,Movie with genres Children. User tags: ,,,,2.0,,English,Hollywood
Turbulence (1997),Action Thriller,Movie with genres Action Thriller. User tags: ,,,,2.0,,English,Hollywood
Angel Baby (1995),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),Action Adventure Comedy Thriller,Movie with genres Action Adventure Comedy Thriller. User tags: ,,,,7.15,,English,Hollywood
Underworld (1996),Comedy Thriller,Movie with genres Comedy Thriller. User tags: ,,,,6.0,,English,Hollywood
Beverly Hills Ninja (1997),Action Comedy,Movie with genres Action Comedy. User tags: ,,,,4.94,,English,Hollywood
Metro (1997),Action Comedy Crime Drama Thriller,Movie with genres Action Comedy Crime Drama Thriller. User tags: ,,,,5.43,,English,Hollywood
"Cement Garden, The (1993)",Drama,Movie with genres Drama. User tags: ,,,,8.5,,English,Hollywood
Dante's Peak (1997),Action Thriller,Movie with genres Action Thriller. User tags: ,,,,5.25,,English,Hollywood
Meet Wally Sparks (1997),Comedy,Movie with genres Comedy. User tags: ,,,,4.33,,English,Hollywood
Amos & Andrew (1993),Comedy,Movie with genres Comedy. User tags: ,,,,3.0,,English,Hollywood
Benny & Joon (1993),Comedy Romance,Movie with genres Comedy Romance. User tags: Not Seen mental illness,,,Not Seen mental illness,6.95,,English,Hollywood
Prefontaine (1997),Drama,Movie with genres Drama. User tags: ,,,,7.0,,English,Hollywood
McHale's Navy (1997),Comedy War,Movie with genres Comedy War. User tags: ,,,,4.29,,English,Hollywood
Kolya (Kolja) (1996),Comedy Drama,Movie with genres Comedy Drama. User tags: In Netflix queue,,,In Netflix queue,8.86,,English,Hollywood
Gridlock'd (1997),Crime,Movie with genres Crime. User tags: ,,,,6.75,,English,Hollywood
Waiting for Guffman (1996),Comedy,Movie with genres Comedy. User tags: mockumentary,,,mockumentary,7.75,,English,Hollywood
"Beautician and the Beast, The (1997)",Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,3.67,,English,Hollywood
SubUrbia (1997),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.5,,English,Hollywood
"Pest, The (1997)",Comedy,Movie with genres Comedy. User tags: ,,,,4.0,,English,Hollywood
Fools Rush In (1997),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,6.17,,English,Hollywood
Touch (1997),Drama Fantasy Romance,Movie with genres Drama Fantasy Romance. User tags: ,,,,8.0,,English,Hollywood
Absolute Power (1997),Mystery Thriller,Movie with genres Mystery Thriller. User tags: ,,,,5.33,,English,Hollywood
That Darn Cat (1997),Children Comedy Mystery,Movie with genres Children Comedy Mystery. User tags: ,,,,6.5,,English,Hollywood
Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),Comedy,Movie with genres Comedy. User tags: ,,,,4.62,,English,Hollywood
Lost Highway (1997),Crime Drama Fantasy Film-Noir Mystery Romance,Movie with genres Crime Drama Fantasy Film-Noir Mystery Romance. User tags: ,,,,6.53,,English,Hollywood
Rosewood (1997),Action Drama,Movie with genres Action Drama. User tags: ,,,,6.67,,English,Hollywood
Donnie Brasco (1997),Crime Drama,Movie with genres Crime Drama. User tags: Mafia,,,Mafia,7.48,,English,Hollywood
Booty Call (1997),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,5.2,,English,Hollywood
Best Men (1997),Action Comedy Crime Drama,Movie with genres Action Comedy Crime Drama. User tags: ,,,,8.0,,English,Hollywood
Jungle2Jungle (a.k.a. Jungle 2 Jungle) (1997),Children Comedy,Movie with genres Children Comedy. User tags: jungle,,,jungle,4.27,,English,Hollywood
Kama Sutra: A Tale of Love (1996),Romance,Movie with genres Romance. User tags: ,,,,8.0,,English,Hollywood
Private Parts (1997),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.08,,English,Hollywood
Love Jones (1997),Romance,Movie with genres Romance. User tags: ,,,,8.0,,English,Hollywood
"Saint, The (1997)",Action Romance Sci-Fi Thriller,Movie with genres Action Romance Sci-Fi Thriller. User tags: ,,,,6.43,,English,Hollywood
Smilla's Sense of Snow (1997),Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,6.73,,English,Hollywood
Crash (1996),Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,6.18,,English,Hollywood
"Daytrippers, The (1996)",Comedy Drama Mystery Romance,Movie with genres Comedy Drama Mystery Romance. User tags: ,,,,7.33,,English,Hollywood
Liar Liar (1997),Comedy,Movie with genres Comedy. User tags: lawyer,,,lawyer,6.07,,English,Hollywood
Selena (1997),Drama Musical,Movie with genres Drama Musical. User tags: ,,,,6.0,,English,Hollywood
"Devil's Own, The (1997)",Action Drama Thriller,Movie with genres Action Drama Thriller. User tags: ,,,,5.67,,English,Hollywood
Cats Don't Dance (1997),Animation Children Musical,Movie with genres Animation Children Musical. User tags: ,,,,6.0,,English,Hollywood
B*A*P*S (1997),Comedy,Movie with genres Comedy. User tags: ,,,,3.0,,English,Hollywood
Love and Other Catastrophes (1996),Romance,Movie with genres Romance. User tags: ,,,,7.0,,English,Hollywood
Turbo: A Power Rangers Movie (1997),Action Adventure Children,Movie with genres Action Adventure Children. User tags: ,,,,4.0,,English,Hollywood
Anna Karenina (1997),Drama Romance,Movie with genres Drama Romance. User tags: Tolstoy,,,Tolstoy,8.0,,English,Hollywood
Double Team (1997),Action,Movie with genres Action. User tags: ,,,,8.0,,English,Hollywood
Inventing the Abbotts (1997),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,6.0,,English,Hollywood
Anaconda (1997),Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: ,,,,3.85,,English,Hollywood
Grosse Pointe Blank (1997),Comedy Crime Romance,Movie with genres Comedy Crime Romance. User tags: hit men reunion,,,hit men reunion,7.22,,English,Hollywood
Kissed (1996),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,5.0,,English,Hollywood
8 Heads in a Duffel Bag (1997),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
Paradise Road (1997),Drama War,Movie with genres Drama War. User tags: ,,,,7.0,,English,Hollywood
Romy and Michele's High School Reunion (1997),Comedy,Movie with genres Comedy. User tags: reunion,,,reunion,5.93,,English,Hollywood
Temptress Moon (Feng Yue) (1996),Romance,Movie with genres Romance. User tags: ,,,,6.0,,English,Hollywood
Volcano (1997),Action Drama Thriller,Movie with genres Action Drama Thriller. User tags: ,,,,4.2,,English,Hollywood
Children of the Revolution (1996),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
Austin Powers: International Man of Mystery (1997),Action Adventure Comedy,Movie with genres Action Adventure Comedy. User tags: ,,,,7.07,,English,Hollywood
Breakdown (1997),Action Thriller,Movie with genres Action Thriller. User tags: ,,,,6.69,,English,Hollywood
Broken English (1996),Drama,Movie with genres Drama. User tags: ,,,,2.0,,English,Hollywood
Fathers' Day (1997),Comedy,Movie with genres Comedy. User tags: ,,,,2.0,,English,Hollywood
"Fifth Element, The (1997)",Action Adventure Comedy Sci-Fi,Movie with genres Action Adventure Comedy Sci-Fi. User tags: ,,,,7.49,,English,Hollywood
Nowhere (1997),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,6.67,,English,Hollywood
"Promise, The (La promesse) (1996)",Drama,Movie with genres Drama. User tags: ,,,,9.0,,English,Hollywood
Shall We Dance? (Shall We Dansu?) (1996),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ballroom dance,,,ballroom dance,7.62,,English,Hollywood
Addicted to Love (1997),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,5.4,,English,Hollywood
Brassed Off (1996),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: In Netflix queue,,,In Netflix queue,7.43,,English,Hollywood
"Lost World: Jurassic Park, The (1997)",Action Adventure Sci-Fi Thriller,Movie with genres Action Adventure Sci-Fi Thriller. User tags: dinosaurs,,,dinosaurs,5.51,,English,Hollywood
Ponette (1996),Drama,Movie with genres Drama. User tags: death,,,death,9.0,,English,Hollywood
Schizopolis (1996),Comedy,Movie with genres Comedy. User tags: ,,,,7.0,,English,Hollywood
Shiloh (1997),Children Drama,Movie with genres Children Drama. User tags: ,,,,6.5,,English,Hollywood
Rough Magic (1995),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,8.0,,English,Hollywood
Trial and Error (1997),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,4.5,,English,Hollywood
Buddy (1997),Adventure Children Drama,Movie with genres Adventure Children Drama. User tags: ,,,,4.33,,English,Hollywood
Con Air (1997),Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: ,,,,6.07,,English,Hollywood
"Pillow Book, The (1996)",Drama Romance,Movie with genres Drama Romance. User tags: ,,,,4.8,,English,Hollywood
Speed 2: Cruise Control (1997),Action Romance Thriller,Movie with genres Action Romance Thriller. User tags: ,,,,3.21,,English,Hollywood
Batman & Robin (1997),Action Adventure Fantasy Thriller,Movie with genres Action Adventure Fantasy Thriller. User tags: ,,,,4.43,,English,Hollywood
For Roseanna (Roseanna's Grave) (1997),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,8.0,,English,Hollywood
Head Above Water (1996),Comedy Thriller,Movie with genres Comedy Thriller. User tags: ,,,,8.0,,English,Hollywood
Hercules (1997),Adventure Animation Children Comedy Musical,Movie with genres Adventure Animation Children Comedy Musical. User tags: ,,,,6.9,,English,Hollywood
My Best Friend's Wedding (1997),Comedy Romance,Movie with genres Comedy Romance. User tags: romantic comedy wedding weddings,,,romantic comedy wedding weddings,7.0,,English,Hollywood
When the Cat's Away (Chacun cherche son chat) (1996),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,9.0,,English,Hollywood
"Contempt (Mépris, Le) (1963)",Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Face/Off (1997),Action Crime Drama Thriller,Movie with genres Action Crime Drama Thriller. User tags: transplants,,,transplants,6.74,,English,Hollywood
Fall (1997),Romance,Movie with genres Romance. User tags: ,,,,2.0,,English,Hollywood
Men in Black (a.k.a. MIB) (1997),Action Comedy Sci-Fi,Movie with genres Action Comedy Sci-Fi. User tags: aliens,,,aliens,6.98,,English,Hollywood
Out to Sea (1997),Comedy,Movie with genres Comedy. User tags: ,,,,4.33,,English,Hollywood
Wild America (1997),Adventure Children,Movie with genres Adventure Children. User tags: ,,,,5.2,,English,Hollywood
"Simple Wish, A (1997)",Children Fantasy,Movie with genres Children Fantasy. User tags: ,,,,6.0,,English,Hollywood
Contact (1997),Drama Sci-Fi,Movie with genres Drama Sci-Fi. User tags: ,,,,7.3,,English,Hollywood
Love Serenade (1996),Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
G.I. Jane (1997),Action Drama,Movie with genres Action Drama. User tags: military,,,military,5.59,,English,Hollywood
Conan the Barbarian (1982),Action Adventure Fantasy,Movie with genres Action Adventure Fantasy. User tags: ,,,,6.52,,English,Hollywood
George of the Jungle (1997),Children Comedy,Movie with genres Children Comedy. User tags: ,,,,6.15,,English,Hollywood
Cop Land (1997),Action Crime Drama Thriller,Movie with genres Action Crime Drama Thriller. User tags: ,,,,6.56,,English,Hollywood
Event Horizon (1997),Horror Sci-Fi Thriller,Movie with genres Horror Sci-Fi Thriller. User tags: ,,,,5.88,,English,Hollywood
Spawn (1997),Action Adventure Sci-Fi Thriller,Movie with genres Action Adventure Sci-Fi Thriller. User tags: ,,,,5.27,,English,Hollywood
Air Bud (1997),Children Comedy,Movie with genres Children Comedy. User tags: ,,,,4.75,,English,Hollywood
Picture Perfect (1997),Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,5.67,,English,Hollywood
In the Company of Men (1997),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,8.17,,English,Hollywood
Career Girls (1997),Drama,Movie with genres Drama. User tags: ,,,,8.67,,English,Hollywood
Conspiracy Theory (1997),Drama Mystery Romance Thriller,Movie with genres Drama Mystery Romance Thriller. User tags: ,,,,5.88,,English,Hollywood
Desperate Measures (1998),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,5.0,,English,Hollywood
Steel (1997),Action,Movie with genres Action. User tags: ,,,,4.67,,English,Hollywood
She's So Lovely (1997),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,7.0,,English,Hollywood
Hoodlum (1997),Crime Drama Film-Noir,Movie with genres Crime Drama Film-Noir. User tags: ,,,,4.67,,English,Hollywood
Leave It to Beaver (1997),Comedy,Movie with genres Comedy. User tags: ,,,,3.5,,English,Hollywood
Mimic (1997),Horror Sci-Fi Thriller,Movie with genres Horror Sci-Fi Thriller. User tags: ,,,,4.92,,English,Hollywood
Money Talks (1997),Action Comedy,Movie with genres Action Comedy. User tags: ,,,,6.67,,English,Hollywood
Excess Baggage (1997),Adventure Romance,Movie with genres Adventure Romance. User tags: ,,,,5.5,,English,Hollywood
Kull the Conqueror (1997),Action Adventure,Movie with genres Action Adventure. User tags: ,,,,4.67,,English,Hollywood
Air Force One (1997),Action Thriller,Movie with genres Action Thriller. User tags: president,,,president,6.69,,English,Hollywood
187 (One Eight Seven) (1997),Drama Thriller,Movie with genres Drama Thriller. User tags: ,,,,5.33,,English,Hollywood
"Hunt for Red October, The (1990)",Action Adventure Thriller,Movie with genres Action Adventure Thriller. User tags: Tom Clancy,,,Tom Clancy,7.74,,English,Hollywood
My Own Private Idaho (1991),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,8.2,,English,Hollywood
"Kiss Me, Guido (1997)",Comedy,Movie with genres Comedy. User tags: ,,,,6.0,,English,Hollywood
Star Maps (1997),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
In & Out (1997),Comedy,Movie with genres Comedy. User tags: ,,,,5.58,,English,Hollywood
"Edge, The (1997)",Adventure Drama,Movie with genres Adventure Drama. User tags: ,,,,6.0,,English,Hollywood
"Peacemaker, The (1997)",Action Thriller War,Movie with genres Action Thriller War. User tags: ,,,,6.05,,English,Hollywood
L.A. Confidential (1997),Crime Film-Noir Mystery Thriller,Movie with genres Crime Film-Noir Mystery Thriller. User tags: Police,,,Police,8.12,,English,Hollywood
Seven Years in Tibet (1997),Adventure Drama War,Movie with genres Adventure Drama War. User tags: ,,,,6.86,,English,Hollywood
Kiss the Girls (1997),Crime Drama Mystery Thriller,Movie with genres Crime Drama Mystery Thriller. User tags: ,,,,6.23,,English,Hollywood
Soul Food (1997),Drama,Movie with genres Drama. User tags: ,,,,6.5,,English,Hollywood
Wishmaster (1997),Horror,Movie with genres Horror. User tags: ,,,,4.5,,English,Hollywood
"Thousand Acres, A (1997)",Drama,Movie with genres Drama. User tags: ,,,,3.5,,English,Hollywood
"Game, The (1997)",Drama Mystery Thriller,Movie with genres Drama Mystery Thriller. User tags: Mystery mindfuck plot twist psychological suspense twist ending,,,Mystery mindfuck plot twist psychological suspense twist ending,7.4,,English,Hollywood
Fire Down Below (1997),Action Drama Thriller,Movie with genres Action Drama Thriller. User tags: ,,,,5.33,,English,Hollywood
U Turn (1997),Crime Drama Mystery,Movie with genres Crime Drama Mystery. User tags: ,,,,6.71,,English,Hollywood
"MatchMaker, The (1997)",Comedy Romance,Movie with genres Comedy Romance. User tags: ,,,,6.67,,English,Hollywood
"Assignment, The (1997)",Action Thriller,Movie with genres Action Thriller. User tags: ,,,,10.0,,English,Hollywood
Ulee's Gold (1997),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
"Ice Storm, The (1997)",Drama,Movie with genres Drama. User tags: 1970s,,,1970s,7.76,,English,Hollywood
Chasing Amy (1997),Comedy Drama Romance,Movie with genres Comedy Drama Romance. User tags: ,,,,7.15,,English,Hollywood
"Full Monty, The (1997)",Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.52,,English,Hollywood
Indian Summer (a.k.a. Alive & Kicking) (1996),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,3.5,,English,Hollywood
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",Drama Romance,Movie with genres Drama Romance. User tags: England Queen Victoria,,,England Queen Victoria,7.6,,English,Hollywood
I Know What You Did Last Summer (1997),Horror Mystery Thriller,Movie with genres Horror Mystery Thriller. User tags: ,,,,4.22,,English,Hollywood
The Devil's Advocate (1997),Drama Mystery Thriller,Movie with genres Drama Mystery Thriller. User tags: lawyers,,,lawyers,6.82,,English,Hollywood
RocketMan (a.k.a. Rocket Man) (1997),Children Comedy Romance Sci-Fi,Movie with genres Children Comedy Romance Sci-Fi. User tags: ,,,,4.29,,English,Hollywood
Playing God (1997),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,5.0,,English,Hollywood
"House of Yes, The (1997)",Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,7.0,,English,Hollywood
"Fast, Cheap & Out of Control (1997)",Documentary,Movie with genres Documentary. User tags: ,,,,5.0,,English,Hollywood
Washington Square (1997),Drama,Movie with genres Drama. User tags: Henry James,,,Henry James,7.5,,English,Hollywood
Year of the Horse (1997),Documentary,Movie with genres Documentary. User tags: ,,,,9.0,,English,Hollywood
Gattaca (1997),Drama Sci-Fi Thriller,Movie with genres Drama Sci-Fi Thriller. User tags: future intelligent thought-provoking,,,future intelligent thought-provoking,7.91,,English,Hollywood
FairyTale: A True Story (1997),Children Drama Fantasy,Movie with genres Children Drama Fantasy. User tags: ,,,,7.0,,English,Hollywood
Phantoms (1998),Drama Horror Thriller,Movie with genres Drama Horror Thriller. User tags: ,,,,8.0,,English,Hollywood
Swept from the Sea (1997),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,8.0,,English,Hollywood
"Life Less Ordinary, A (1997)",Romance Thriller,Movie with genres Romance Thriller. User tags: ,,,,6.12,,English,Hollywood
Hurricane Streets (1997),Drama,Movie with genres Drama. User tags: ,,,,8.0,,English,Hollywood
Eve's Bayou (1997),Drama,Movie with genres Drama. User tags: ,,,,6.0,,English,Hollywood
Switchback (1997),Crime Mystery Thriller,Movie with genres Crime Mystery Thriller. User tags: ,,,,6.0,,English,Hollywood
Gang Related (1997),Crime,Movie with genres Crime. User tags: ,,,,6.0,,English,Hollywood
Stripes (1981),Comedy War,Movie with genres Comedy War. User tags: military,,,military,7.59,,English,Hollywood
Bean (1997),Comedy,Movie with genres Comedy. User tags: ,,,,5.94,,English,Hollywood
Mad City (1997),Action Drama,Movie with genres Action Drama. User tags: ,,,,4.2,,English,Hollywood
Welcome to Sarajevo (1997),Drama War,Movie with genres Drama War. User tags: ,,,,6.0,,English,Hollywood
Deceiver (1997),Crime Drama Thriller,Movie with genres Crime Drama Thriller. User tags: ,,,,6.0,,English,Hollywood
"Rainmaker, The (1997)",Drama,Movie with genres Drama. User tags: In Netflix queue,,,In Netflix queue,6.75,,English,Hollywood
Boogie Nights (1997),Drama,Movie with genres Drama. User tags: ,,,,8.15,,English,Hollywood
Witness (1985),Drama Romance Thriller,Movie with genres Drama Romance Thriller. User tags: Amish,,,Amish,7.3,,English,Hollywood
Incognito (1997),Crime Thriller,Movie with genres Crime Thriller. User tags: ,,,,7.0,,English,Hollywood
Starship Troopers (1997),Action Sci-Fi,Movie with genres Action Sci-Fi. User tags: ,,,,6.66,,English,Hollywood
Critical Care (1997),Comedy Drama,Movie with genres Comedy Drama. User tags: ,,,,4.0,,English,Hollywood
"Joy Luck Club, The (1993)",Drama Romance,Movie with genres Drama Romance. User tags: ,,,,7.0,,English,Hollywood
Chairman of the Board (1998),Comedy,Movie with genres Comedy. User tags: ,,,,4.0,,English,Hollywood
Sliding Doors (1998),Drama Romance,Movie with genres Drama Romance. User tags: alternate universe,,,alternate universe,7.2,,English,Hollywood
Mortal Kombat: Annihilation (1997),Action Adventure Fantasy,Movie with genres Action Adventure Fantasy. User tags: ,,,,3.86,,English,Hollywood
"Truman Show, The (1998)",Comedy Drama Sci-Fi,Movie with genres Comedy Drama Sci-Fi. User tags: TV,,,TV,7.62,,English,Hollywood
"Wings of the Dove, The (1997)",Drama Romance,Movie with genres Drama Romance. User tags: Henry James,,,Henry James,8.83,,English,Hollywood
Mrs. Dalloway (1997),Drama Romance,Movie with genres Drama Romance. User tags: ,,,,7.0,,English,Hollywood
"I Love You, I Love You Not (1996)",Drama Romance,Movie with genres Drama Romance. User tags: ,,,,6.0,,English,Hollywood
Red Corner (1997),Crime Thriller,Movie with genres Crime Thriller. User tags: ,,,,7.33,,English,Hollywood
"Jackal, The (1997)",Action Thriller,Movie with genres Action Thriller. User tags: ,,,,6.44,,English,Hollywood
Anastasia (1997),Adventure Animation Children Drama Musical,Movie with genres Adventure Animation Children Drama Musical. User tags: ,,,,6.7,,English,Hollywood
"Man Who Knew Too Little, The (1997)",Comedy Crime Thriller,Movie with genres Comedy Crime Thriller. User tags: ,,,,4.43,,English,Hollywood
